metric,value
Q2_security_effectiveness.post_signing_tamper.mutation_case_counts.top_level_key_id_tamper,30
Q2_security_effectiveness.post_signing_tamper.mutation_case_counts.wire_key_id_tamper,30
Q2_security_effectiveness.post_signing_tamper.postclean_recovery,1/1 PASS
Q2_security_effectiveness.valid_signature_binding.controls_accepted,6
Q2_security_effectiveness.valid_signature_binding.control_trials,6
Q2_security_effectiveness.valid_signature_binding.mismatches_accepted,0
Q2_security_effectiveness.valid_signature_binding.mismatch_trials,9
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_build_sign.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_build_sign.median_ms,1.8440065905451775
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_build_sign.p95_ms,2.644171006977558
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_encrypt_send_request.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_encrypt_send_request.median_ms,0.8660745806992054
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_encrypt_send_request.p95_ms,1.136906910687685
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_receive_decrypt_request.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_receive_decrypt_request.median_ms,0.7489025010727346
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_receive_decrypt_request.p95_ms,1.2167940149083734
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_verify_request.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_verify_request.median_ms,0.9086699865292758
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_verify_request.p95_ms,1.339324051514268
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_application_roundtrip.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_application_roundtrip.median_ms,10.925581504125148
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_application_roundtrip.p95_ms,12.173197988886386
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_build_sign_response.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_build_sign_response.median_ms,0.7945959805510938
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_qgp_build_sign_response.p95_ms,1.326507015619427
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_encrypt_send_response.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_encrypt_send_response.median_ms,0.10495400056242943
Q3_Q4_performance_and_attack_mix.component_checkpoints.bob_encrypt_send_response.p95_ms,0.13799499720335007
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_receive_decrypt_response.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_receive_decrypt_response.median_ms,14.398687868379056
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_receive_decrypt_response.p95_ms,70.22233004681766
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_verify_response.n,30
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_verify_response.median_ms,1.4804790262132883
Q3_Q4_performance_and_attack_mix.component_checkpoints.alice_qgp_verify_response.p95_ms,1.6493091825395823
Q3_Q4_performance_and_attack_mix.concurrency.levels.1.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.1.pass_repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.1.verified_ok,760
Q3_Q4_performance_and_attack_mix.concurrency.levels.1.verified_fail,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.1.verified_rps_mean,5.014
Q3_Q4_performance_and_attack_mix.concurrency.levels.2.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.2.pass_repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.2.verified_ok,1393
Q3_Q4_performance_and_attack_mix.concurrency.levels.2.verified_fail,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.2.verified_rps_mean,9.1888
Q3_Q4_performance_and_attack_mix.concurrency.levels.5.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.5.pass_repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.5.verified_ok,2832
Q3_Q4_performance_and_attack_mix.concurrency.levels.5.verified_fail,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.5.verified_rps_mean,18.51
Q3_Q4_performance_and_attack_mix.concurrency.levels.10.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.10.pass_repeats,1
Q3_Q4_performance_and_attack_mix.concurrency.levels.10.verified_ok,3897
Q3_Q4_performance_and_attack_mix.concurrency.levels.10.verified_fail,968
Q3_Q4_performance_and_attack_mix.concurrency.levels.10.verified_rps_mean,25.064799999999998
Q3_Q4_performance_and_attack_mix.concurrency.levels.20.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.20.pass_repeats,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.20.verified_ok,4733
Q3_Q4_performance_and_attack_mix.concurrency.levels.20.verified_fail,11599
Q3_Q4_performance_and_attack_mix.concurrency.levels.20.verified_rps_mean,30.6524
Q3_Q4_performance_and_attack_mix.concurrency.levels.30.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.30.pass_repeats,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.30.verified_ok,4889
Q3_Q4_performance_and_attack_mix.concurrency.levels.30.verified_fail,20904
Q3_Q4_performance_and_attack_mix.concurrency.levels.30.verified_rps_mean,31.5758
Q3_Q4_performance_and_attack_mix.concurrency.levels.50.repeats,5
Q3_Q4_performance_and_attack_mix.concurrency.levels.50.pass_repeats,0
Q3_Q4_performance_and_attack_mix.concurrency.levels.50.verified_ok,5114
Q3_Q4_performance_and_attack_mix.concurrency.levels.50.verified_fail,27293
Q3_Q4_performance_and_attack_mix.concurrency.levels.50.verified_rps_mean,32.6828
Q3_Q4_performance_and_attack_mix.concurrency.highest_tested_all_pass_clients,5
Q3_Q4_performance_and_attack_mix.concurrency.first_tested_instability_clients,10
Q3_Q4_performance_and_attack_mix.placement.sidecar.message.n,30
Q3_Q4_performance_and_attack_mix.placement.sidecar.message.mean_ms,40.733333333333334
Q3_Q4_performance_and_attack_mix.placement.sidecar.message.median_ms,37.0
Q3_Q4_performance_and_attack_mix.placement.sidecar.message.p95_ms,52.0
Q3_Q4_performance_and_attack_mix.placement.sidecar.file.n,30
Q3_Q4_performance_and_attack_mix.placement.sidecar.file.mean_ms,19.5
Q3_Q4_performance_and_attack_mix.placement.sidecar.file.median_ms,15.0
Q3_Q4_performance_and_attack_mix.placement.sidecar.file.p95_ms,31.0
Q3_Q4_performance_and_attack_mix.placement.sidecar.openweb.n,30
