pair_index,baseline_verified_rps,attack_verified_rps,throughput_change_pct,baseline_e2e_p95_ms,attack_e2e_p95_ms,p95_change_pct,attack_rate,attack_offered_fps,achieved_attack_fraction,attack_sent,attack_responses,attack_errors,result
1,9.087,9.246,1.750,1258.414,1198.559,-4.756,3.894,3.867,0.29489,1180,0,0,PASS
2,9.072,9.127,0.606,976.395,1168.735,19.699,3.888,3.866,0.29753,1180,0,0,PASS
3,8.806,9.261,5.167,910.368,1186.504,30.332,3.774,3.753,0.28836,1150,0,0,PASS
4,9.147,8.988,-1.738,1159.783,1145.761,-1.209,3.920,3.898,0.30249,1197,0,0,PASS
5,8.909,9.020,1.246,1076.521,1208.320,12.243,3.818,3.821,0.29758,1166,0,0,PASS
6,8.984,8.804,-2.004,1227.039,1250.068,1.877,3.850,3.853,0.30444,1176,0,0,PASS
